produto;categoria;descricao;tipos;label;subcategoria;marca;fabricante
2282334733936076502;Distilled Spirits;JOSEPH CARTRON CAFÉ LIQUEUR;Distilled Spirits;Core;Liqueurs & Cordials;Joseph Cartron Cafe;Spiribam
6091840953834683482;Distilled Spirits;SPRINGBANK 18 YEAR SINGLE MALT 700ML;Distilled Spirits;Specialty;Scotch Whisky;Springbank 18 Year Single Malt;Pacific Edge Wine & Spirits
1968645851245092408;Distilled Spirits;J BRANDT TRIPLE SEC 12/750ML 30PF;Distilled Spirits;Private Label;Liqueurs & Cordials;J Brandt Triple Sec;Sazerac Spirits
994706710729219179;Draft;REFORMATION CASHMERE IPA 1/4 KEG;Draft;In&Out;Other Draft;Reformation Cashmere Fresh Hop IPA;Reformation Brewery
9209550539540384349;Non-Alcohol;HELLA MOSCOW MULE 750ML;Non Alcohol;Core;Mixers;Hella Bitters Bloody Mary;Hella Bitter Llc
1466206072929919887;Distilled Spirits;GRANNY'S GINGERBREAD CREAM 25 PROOF 750ML;Distilled Spirits;In&Out;Liqueurs & Cordials;Sazerac Granny's Gingerbread Cream;Sazerac ABA
405158664555012743;Package;BOLD ROCK INDIA PRESSED APPLE 6/4/16 CAN;Package;Core;Other Package;Bold Rock India Pressed Apple Hard Cider;Bold Rock Hard Cider
6040677600408757429;Distilled Spirits;FRIS VODKA 12/10/50ML 80PF;Allocated Spirits;;Vodka;Fris Vodka;Sazerac Spirits
6028082604838966860;Distilled Spirits;TESSORA CREMA AL LIMONE 750ML;Distilled Spirits;Core;Liqueurs & Cordials;Tessora Crema Al Limone;Veriano Fine Food & Spirits
1165416298911477885;Distilled Spirits;THE CLUB CAPE COD 24/200ML CN 30PF;Distilled Spirits;;Ready-to-Drink;The Club Pina Colada RTD;Sazerac Spirits
6297854966251490989;Draft;TUCKER BREWING LOOK OUT LICHTENHAINER 1/6 KEG;Draft;In&Out;Specialty Beer;Tucker Brewing Look Out Lichtenhainer;Tucker Brewing Company
871371988891348557;Package;WILD LEAP GRATUITY 2/12 CN;Package;Discontinued;Lager;Wild Leap Gratuity;Wild Leap Brewing Co
7651517854813933049;Wine;RAM'S GATE BUSH CRISPO VINEYARD PINOT NOIR 2018;Wine > 14 %;Discontinued;Red Wine;Rams Gate Bush Crispo Vineyard Pinot Noir;Rams Gate
3652281557572916499;Distilled Spirits;KIRKLAND SIGNATURE CANADIAN WHISKEY US 6/1.75L 80PF;Distilled Spirits;;Canadian Whisky;Kirkland Signature Canadian Whiskey;Sazerac Spirits
