pdv;premise;categoria_pdv;zipcode
2204965430669363375;On Premise;Mexican Rest;30741
5211957289528622910;On Premise;Hotel/Motel;80011
9024493554530757353;Off Premise;Convenience;80751
8659197371382902429;On Premise;Restaurant;80439
1400854873763881130;On Premise;Restaurant;30093
6067948396569964814;Off Premise;Grocery;80906
5450209638302911403;Off Premise;Convenience;30721
691022780643224115;On Premise;Other On Premise;80205
678360571217951483;On Premise;Restaurant;80233
7389100204865028460;Off Premise;Package/Liquor;80204
5302902509936837762;On Premise;Asian;80920
405067956641631943;On Premise;Bar;80737
4607032614375538921;On Premise;Restaurant;30328
2327193223665181726;Off Premise;Package/Liquor;80219
3359726780040964258;Off Premise;Package/Liquor;80550
7985524581923323003;Off Premise;Convenience;30720
1687432077849254002;On Premise;Golf - Public;80503
6484964343038787599;Off Premise;Grocery;80134
3170783456241752757;Off Premise;Package/Liquor;30319
2904566334201003934;On Premise;Irish;80013
1281301628228549358;On Premise;Restaurant;80550
3275139183479483232;Off Premise;Package/Liquor;80487
1941987417130904004;Off Premise;Convenience;30012
131204024763439565;Off Premise;Drug;30329
1036853346128685463;On Premise;Restaurant;80234
7110121268475006983;On Premise;Restaurant;80202
5390646827237511360;On Premise;Bar;80002
976152893673275306;On Premise;Golf - Public;80521
173505964533288694;Off Premise;All Other N/A Off Premise;30306
7088242949735642175;Off Premise;Grocery;30329
46325205974699029;Off Premise;Convenience;80908
3019333491865333834;On Premise;Restaurant;81625
6352279236113683611;On Premise;Other On Premise;80424
5202374553351404916;Off Premise;Package/Liquor;80211
4847556120814447211;On Premise;Irish;30319
7034571183435841589;On Premise;Hotel/Motel;30096
3498870796978043924;Off Premise;Package/Liquor;80534
1509764385709038838;Off Premise;Grocery;30033
177918996049880513;On Premise;Golf - Public;80020
7592494616348482196;Off Premise;Package/Liquor;31410
29014179057952263;On Premise;Restaurant;80012
2458963842606620322;On Premise;Restaurant;80202
6523044225784514690;On Premise;Restaurant;80112
6898672222619277918;On Premise;Restaurant;30071
6596675912258685220;On Premise;Bar;80045
1097210213598313980;On Premise;Restaurant;81301
6921572185609172725;Off Premise;Package/Liquor;80002
5445165396817318610;On Premise;Restaurant;80538
8696447442983901192;Off Premise;Convenience;80121
205795548287704346;On Premise;Restaurant;81089
1872020962658684289;On Premise;Other On Premise;81623
7756497261336222987;Off Premise;Convenience;30084
1263064250398409988;On Premise;Restaurant;80303
4955943950656593825;Off Premise;Convenience;30701
8923261282721797314;On Premise;Asian;30318
6208933692381153390;On Premise;Italian;80525
5373894041322733946;On Premise;Restaurant;80924
1996096385248846560;On Premise;Restaurant;81301
168998388847522514;Off Premise;Grocery;30328
8063199457020017728;On Premise;Barbeque;30161
7166784205274982937;Off Premise;Convenience;80110
4688094343297958993;On Premise;Mexican Rest;80443
3981113947419741687;On Premise;Restaurant;30078
2455863555134540617;On Premise;Golf - Private;30096
4021256053793234952;Off Premise;Package/Liquor;80226
5816441130534433422;On Premise;Mexican Rest;80226
1148608894887755638;Off Premise;Package/Liquor;80231
8079536675230586368;On Premise;Stadium/Concession;80538
86648880556649390;On Premise;Restaurant;80443
4672034387922443939;Off Premise;Super Center;80301
429683008694110267;On Premise;Restaurant;80439
605032728484939983;On Premise;Restaurant;80921
469556571071009980;On Premise;Bar;80810
6323926740512958114;On Premise;Mexican Rest;30728
1632281123960486946;Off Premise;Package/Liquor;31907
1178680465791445517;Off Premise;Grocery;30319
8491431876064917241;Off Premise;Convenience;80229
7361889950123961557;Off Premise;Package/Liquor;80234
6997760262510043335;Off Premise;Package/Liquor;80737
612151826285432063;On Premise;Restaurant;81657
3052786481197987782;On Premise;Other On Premise;80209
777143731978248627;On Premise;Restaurant;30606
